return_pct,cagr_pct,sharpe,sortino,max_dd_pct,turnover,positive_days_pct,trades,rebalances,days,strategy,rebalance_every,top_n,window_start,window_end,sample
-13.278775583094705,-25.106155218738802,-0.8300209591752256,-0.8378481723857529,-31.72070516199469,51.48186263157849,55.00000000000001,397,118,180,mom20,1,3,2024-12-05,2025-06-02,walk_forward_window
15.402213302961943,33.7343143786651,1.4662460068129526,2.36181752638055,-6.722650301344258,53.58456602596823,53.6,454,126,180,mom20,1,3,2025-06-03,2025-11-29,walk_forward_window
-1.2819303124236625,-13.693587197271961,-0.9641448716414296,-1.030485604497041,-3.648449804416487,4.831865780720381,61.904761904761905,70,22,32,mom20,1,3,2025-11-30,2025-12-31,walk_forward_window
0.7801710837748388,1.5894531885762397,0.23651229130222814,0.28413573991006447,-27.427946570607308,49.368636456176425,51.21951219512195,575,116,180,mom20,1,5,2020-01-01,2020-06-28,walk_forward_window
17.71438420551148,39.22747006725788,1.169134776579249,1.5089378649432448,-25.147239300485214,46.7658777056135,54.761904761904766,657,122,180,mom20,1,5,2020-06-29,2020-12-25,walk_forward_window
17.041919747103673,37.61829250164992,1.921087655621829,2.8004213973944134,-9.894243722525642,36.13434765376394,58.19672131147541,692,123,180,mom20,1,5,2020-12-26,2021-06-23,walk_forward_window
22.22306257479676,50.26169749235427,2.7105340143520373,4.45921954794186,-5.72928616212196,32.26867236247652,56.451612903225815,673,125,180,mom20,1,5,2021-06-24,2021-12-20,walk_forward_window
-18.11424079488776,-33.33692577567964,-1.4566805791333661,-1.7346479583150374,-22.358436711650377,48.64688824346697,50.0,564,120,180,mom20,1,5,2021-12-21,2022-06-18,walk_forward_window
2.6321034253063536,5.413335067097291,0.33904942361061335,0.5330822124219088,-18.140705073432994,59.03522415129372,52.41935483870967,574,120,180,mom20,1,5,2022-06-19,2022-12-15,walk_forward_window
15.436335104734011,33.814564272352186,1.4327562115467325,2.5929885390680165,-9.122586584384818,39.11610895872612,48.760330578512395,579,116,180,mom20,1,5,2022-12-16,2023-06-13,walk_forward_window
-9.943873902577415,-19.1463135749128,-1.1889721568062173,-1.6987841671020483,-24.36076797961595,48.48277381118499,49.193548387096776,639,125,180,mom20,1,5,2023-06-14,2023-12-10,walk_forward_window
8.676792058817483,18.39343224357288,1.2875980830762066,1.717462647106203,-6.0440781394485725,38.85176276143672,56.91056910569105,687,124,180,mom20,1,5,2023-12-11,2024-06-07,walk_forward_window
7.376672581130372,15.537089645574586,0.8550994664655519,1.3048183896798347,-14.92598518420245,36.913630929910376,51.21951219512195,676,124,180,mom20,1,5,2024-06-08,2024-12-04,walk_forward_window
-16.62627829639154,-30.8559106348794,-1.1736514239192208,-1.157121925701974,-32.83992248319828,41.17070564462799,53.333333333333336,560,118,180,mom20,1,5,2024-12-05,2025-06-02,walk_forward_window
10.87051563272392,23.293241275282718,1.4394096176538411,2.22138612668147,-6.920856913553786,37.39609348959523,52.800000000000004,716,126,180,mom20,1,5,2025-06-03,2025-11-29,walk_forward_window
0.824896230133354,9.830486197673194,0.9648507723352523,1.5101766423378793,-1.8841449071416827,6.173735957476664,57.14285714285714,120,22,32,mom20,1,5,2025-11-30,2025-12-31,walk_forward_window
18.03427024744075,39.996273478309874,0.9534953248089405,1.1456729483730528,-31.11867045086901,20.957332349998257,53.65853658536586,91,25,180,mom20,5,3,2020-01-01,2020-06-28,walk_forward_window
60.8663848074297,162.3931592106826,2.646027068036561,3.3811522013970343,-18.56582300549302,17.979188589983547,54.761904761904766,99,27,180,mom20,5,3,2020-06-29,2020-12-25,walk_forward_window
7.094342013260113,14.92148893605625,0.777863945915406,1.1302158757471346,-11.161084559730128,19.49188792071691,54.91803278688525,104,26,180,mom20,5,3,2020-12-26,2021-06-23,walk_forward_window
33.98263323526156,81.05169684647386,3.199564765229721,4.742793030886313,-7.25211070081726,18.27483363920485,58.06451612903226,102,26,180,mom20,5,3,2021-06-24,2021-12-20,walk_forward_window
-13.925449908323206,-26.23505268625268,-0.9629654005155976,-1.2064288091433277,-22.12367644726467,19.074095035161225,50.806451612903224,94,26,180,mom20,5,3,2021-12-21,2022-06-18,walk_forward_window
12.513197318874791,27.028265210604907,1.033549570407657,1.6661862727406818,-18.811935575478167,22.795880059977563,50.806451612903224,94,25,180,mom20,5,3,2022-06-19,2022-12-15,walk_forward_window
